name;energy;protein;total_n;fat;Saturated fat;monounsaturated fatty acids;polyunsaturated fatty acids;  kulhydrat, tilgængelig;Kulhydrat, total;  tilsat sukker;  kostfibre;Alkohol;Aske;Vand;A-vitamin;  Retinol;  ß-caroten;D-vitamin;D3 cholecalciferol;D2 ergocalciferol;E-vitamin;  alfa-tokoferol;K-vitamin;B1-vitamin, thiamin;B2-vitamin, riboflavin;Niacin;  niacin;  tryptofans bidrag;B6-vitamin;Pantothensyre;Biotin;Folat;B12-vitamin;C-vitamin;  L-ascorbinsyre;  L-dehydroascorbins.;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Nikkel, Ni;Fructose;Glucose;Lactose;Maltose;Saccharose;Sukkerarter, ialt;Stivelse;Kostfibre, total (AOAC);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Sum mættede;C14:1, n-5;C16:1, n-7;C18:1, n-9;C18:1, n-7;C20:1, n-11;C22:1, n-9;C22:1, n-11;Sum monoumættede;C18:2, n-6;C18:3, n-3;C18:4, n-3;C20:4, n-6;C20:5, n-3;C22:5, n-3;C22:6, n-3;Sum polyumættede;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin;C24:1, n-9;Andre fedtsyrer;25-hydroxycholecalciferol
Anchovy, pickled, canned;879;13.4;2.1;13.0;3.3;4.3;2.7;10.0;10.0;10.0;0.0;0.0;9.6;53.0;390;390;0;14;;;0.9;0.9;0;0.006;0.120;3.43;1.1;2.33;0.175;;;16;3.5;0;;;3606;165;145;18.3;210;1.8;0.16;3.4;30;0.10;2;20;5;;;;;;10;0;;;;;;0.103;0.797;0.093;2.07;;0.279;;;;3.34;;0.828;2.07;;0.506;0.931;;4.33;0.259;;;0.321;0.962;;1.14;2.68;2.10;0.580;0.000;90;710;1100;1100;410;43;580;490;560;140;790;710;300;770;1300;1500;790;540;520;;;
Orange, raw;215;0.9;0.2;0.6;0.1;0.1;0.2;9.5;11.5;0.0;2.0;0.0;0.4;87.0;4.00;0;48;0;;;0.55;0.55;0.0;0.086;0.032;0.400;0.3;0.100;0.082;0.18;0.89;46.2;0;60.8;52.5;8.3;2;153;35.4;10.4;22.1;0.138;0.07;0.068;0.3;0.042;0.2;0.050;3.18;2.2;2.5;;;3.5;8.20;0;;;;;;;;;0.101;;0.017;;;;0.118;;0.017;0.110;;;;;0.127;0.168;0.067;;;;;;0.235;0.067;0.168;0.000;0;18;30;38;5;3;21;13;18;6;30;80;13;26;110;59;21;130;39;;;
Orange juice, canned;180;0.6;0.1;0.1;0.0;0.0;0.0;9.7;9.9;0.0;0.2;0.0;0.4;89.0;2.42;0;29;0;;;0.1;0.1;;0.060;0.028;0.347;0.314;0.033;0.049;0.150;0.89;16;0;39.4;34.4;5;15;168;17.1;10;21.6;0.18;0.038;0.061;0.4;0.014;0.4;0.042;0.6;2.8;3.4;;;2.2;8.40;0;;0.000;0.000;0.000;0.000;0.000;0.000;;0.026;;0.000;;;;0.026;;0.006;0.031;;0.000;0.000;;0.037;0.039;0.010;0.000;0.000;0.000;0.000;0.000;0.049;0.010;0.039;0.000;0;6;11;8;3;4;7;3;7;2;9;40;3;13;63;28;8;37;11;;;
Marmalade, orange;858;0.5;0.1;0.3;;;;49.0;49.7;44.0;0.7;0.0;2.5;47.0;4.17;0;50;0;;;0.3;0.3;;0;0.03;0.150;0.1;0.050;0.02;0;0;5;0;3;;;18;44;20;4;13;0.5;0.12;0.027;0.5;0.021;3.0;0.3;10;;;;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10;16;20;3;2;11;7;10;3;16;42;7;14;58;31;11;69;21;;;
Artichoke, raw;193;3.3;0.5;0.2;;;;5.1;10.5;;5.4;0.0;1.1;84.9;0.667;0;8;0;;;0.35;0.35;;0.089;0.060;1.05;1.05;;0.097;0.295;;;0;11.7;;;27.0;404;60;35.6;72.3;1.1;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Cucumber, large, pickled;312;0.5;0.1;0.5;;;;16.5;17.0;16.0;0.5;0.0;;82.0;0.583;0;7;0;;;0.1;0.1;;0.010;0.020;2.04;0.04;2.00;0.010;0.1;0.4;8;0;4;;;291;99;15.3;6.5;14.8;0.55;0.057;0.18;1.0;0.085;1.7;0.3;0.6;;;;;;12.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.000;0;;;;;;;;;;;;;;;;;;;;;
Cucumber, large, pickled, sugar not added;65;0.5;0.1;0.5;;;;2.0;2.5;0.0;0.5;0.0;;96.5;0.583;0;7;0;;;0.1;0.1;;0.010;0.020;2.04;0.04;2.00;0.010;0.1;0.4;8;0;4;;;291;99;25;6.5;19;0.55;0.057;0.18;1.0;0.085;2;0;0.6;;;;;;1.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;
Asparagus, green, raw;109;1.8;0.3;0.3;0.1;0.0;0.2;3.1;4.9;0.0;1.8;0.0;0.5;92.5;0.000;0;;0;;;;;;;;0.233;;0.233;0.148;;;150;0;10;;;3.7;267;22.8;12.2;85.5;;;;;;;;;;;;;;;;;;;;;;;;0.067;;0.002;;;;0.069;;0.002;0.005;;;;;0.007;0.151;0.013;;;;;;0.164;0.013;0.151;;0;52;84;75;21;6;49;40;46;14;84;69;32;130;170;380;60;120;86;;;
Asparagus, white, raw;109;2.4;0.4;0.3;0.1;0.0;0.2;2.5;4.3;0.0;1.8;0.0;0.6;92.4;0.000;0;;0;;;;;;;;0.317;;0.317;0.072;;;150;0;18;;;7.7;169;16.6;7.3;42.5;;;;;;;;;;;;;;;;;;;;;;;;0.068;;0.002;;;;0.070;;0.001;0.005;;;;;0.006;0.151;0.014;;;;;;0.165;0.014;0.151;;0;69;110;100;28;8;65;54;61;19;110;92;42;170;220;510;81;150;120;;;
Asparagus, canned;67;1.6;0.3;0.1;0.0;0.0;0.1;1.4;2.9;;1.5;0.0;0.9;94.4;41.1;0;493;0;;;0.25;0.25;;0.03;0.04;0.517;0.3;0.217;0.110;0.07;0.2;48;0;18.4;;;288;111;15.5;7;27.0;0.35;0.055;0.44;0.7;0.14;4.0;0.2;4.9;0.67;0.32;0;0;0.18;1.17;0;;;;;;;;;0.022;;0.001;;;;0.023;;0.001;0.002;;;;;0.003;0.050;0.004;;;;;;0.054;0.004;0.050;0.000;0;46;74;67;18;6;44;36;41;13;74;61;28;110;150;340;54;100;77;;;
